regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,metric,value
single_label,anatomy_matched_residual,1,1,balanced,0,0.5,nan,auprc,0.38612885276476544
single_label,anatomy_matched_residual,1,1,balanced,0,0.5,nan,macro_f1,0.38710516691207886
single_label,anatomy_matched_residual,1,1,balanced,0,0.5,nan,accuracy,0.3880000114440918
single_label,anatomy_matched_residual,1,1,balanced,0,0.5,nan,nll,1.100452184677124
single_label,anatomy_matched_residual,1,1,balanced,0,0.5,nan,calibration_error,0.048549503087997437
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,auroc,0.554668664932251
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,auprc,0.3790666659673055
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,macro_f1,0.37742363413174945
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,accuracy,0.3779999911785126
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,nll,1.1042561531066895
single_label,anatomy_matched_residual,1,1,balanced,1,0.5,nan,calibration_error,0.06105829030275345
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,auroc,0.5686286687850952
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,auprc,0.3922047019004822
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,macro_f1,0.3997640311717987
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,accuracy,0.4000000059604645
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,nll,1.096544623374939
single_label,anatomy_matched_residual,1,1,balanced,2,0.5,nan,calibration_error,0.03986921161413193
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,auroc,0.5507459839185079
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,auprc,0.37749671936035156
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,macro_f1,0.3846471806367238
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,accuracy,0.38600000739097595
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,nll,1.1087291240692139
single_label,anatomy_matched_residual,1,1,balanced,3,0.5,nan,calibration_error,0.050863005220890045
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,auroc,0.542121003071467
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,auprc,0.36997687816619873
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,macro_f1,0.35922033588091534
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,accuracy,0.359333336353302
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,nll,1.1138848066329956
single_label,anatomy_matched_residual,1,1,balanced,4,0.5,nan,calibration_error,0.08009882271289825
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,auroc,0.562062660853068
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,auprc,0.38612885276476544
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,macro_f1,0.38710516691207886
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,accuracy,0.3880000114440918
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,nll,1.100452184677124
single_label,shuffled_anatomy_match,1,1,balanced,0,0.5,nan,calibration_error,0.048549503087997437
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,auroc,0.554668664932251
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,auprc,0.3790666659673055
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,macro_f1,0.37742363413174945
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,accuracy,0.3779999911785126
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,nll,1.1042561531066895
single_label,shuffled_anatomy_match,1,1,balanced,1,0.5,nan,calibration_error,0.06105829030275345
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,auroc,0.5686286687850952
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,auprc,0.3922047019004822
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,macro_f1,0.3997640311717987
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,accuracy,0.4000000059604645
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,nll,1.096544623374939
single_label,shuffled_anatomy_match,1,1,balanced,2,0.5,nan,calibration_error,0.03986921161413193
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,auroc,0.5507459839185079
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,auprc,0.37749671936035156
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,macro_f1,0.3846471806367238
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,accuracy,0.38600000739097595
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,nll,1.1087291240692139
single_label,shuffled_anatomy_match,1,1,balanced,3,0.5,nan,calibration_error,0.050863005220890045
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,auroc,0.542121003071467
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,auprc,0.36997687816619873
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,macro_f1,0.35922033588091534
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,accuracy,0.359333336353302
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,nll,1.1138848066329956
single_label,shuffled_anatomy_match,1,1,balanced,4,0.5,nan,calibration_error,0.08009882271289825
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,auroc,0.5819400151570638
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,auprc,0.410261332988739
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,macro_f1,0.4035058319568634
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,accuracy,0.4046666622161865
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,nll,1.0975369215011597
single_label,positive_prototype,1,20,abundant_controls,0,0.1,nan,calibration_error,0.06391230970621109
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,auroc,0.5790539979934692
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,auprc,0.4002903898557027
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,macro_f1,0.39204152425130206
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,accuracy,0.3933333456516266
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,nll,1.108295202255249
single_label,positive_prototype,1,20,abundant_controls,1,0.1,nan,calibration_error,0.07618881016969681
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,auroc,0.5772999922434489
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,auprc,0.40188690026601154
single_label,positive_prototype,1,20,abundant_controls,2,0.1,nan,macro_f1,0.4050004780292511
